nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,0.579607703,0.390797096,9.02E-02,1.26E-05,0.568465777,0.292626149,0.021325106,1.05E-09,1.00E+00,0.999700304,0.968462277,0,0.548734998,3.17E-01,0.06736878,3.50E-06,0.999938432,0.99791769,0.953891043,2.86E-06,0.999346642,0.998446704,0.982852334,0,0.974295289,0.910953314,0.415853145,2.82E-14,0.999999595,1,0.991718154,0.00825211,1,0.938115267,0.38901996,5.75E-05,1,1,1,0.043411258
520,0.631375249,0.439225174,1.23E-01,4.47E-05,0.618640376,0.343871742,0.031331262,2.70E-09,1.00E+00,0.999824172,0.975960139,0,0.60179586,3.70E-01,0.088606808,6.50E-06,0.999961905,0.99855356,0.963045607,8.09E-06,0.999538409,0.998954894,0.98736536,0,0.979521565,0.93223285,0.472263889,1.81E-13,0.999999805,1,0.995317569,0.01059912,1,0.956151849,0.456226348,0.000117047,1,1,1,0.054694532
540,0.678619786,0.486275218,0.16127411,1.39E-04,0.664702464,0.395581456,0.044214824,6.51E-09,1.00E+00,0.999896113,0.981654074,0,0.650704929,4.23E-01,0.113159202,1.15E-05,0.999976184,0.998989395,0.970334548,2.08E-05,0.999671371,0.999292646,0.990671769,0,0.983636779,0.948640993,0.526590818,1.01E-12,0.999999905,1,0.997388873,0.013386377,1,0.969144708,0.521525992,0.000224327,1,1,1,0.067627706
560,0.721223968,0.531422051,0.204478296,3.81E-04,0.70652593,0.446788818,0.060221226,1.49E-08,1.00E+00,0.999938178,0.985978607,0,0.695221221,0.47532942,0.140826939,1.97E-05,0.999984962,0.999289837,0.976143024,4.94E-05,0.999764304,0.999518414,0.99309703,0,0.986885836,0.961202732,0.578057517,4.96E-12,0.999999953,1,0.998560986,0.01664969,1,0.978407577,0.583410015,0.000407249,1,1,1,0.082212027
580,0.759252403,0.574279021,0.251688026,9.43E-04,0.744144662,0.496675431,0.079488862,3.23E-08,1.00E+00,0.999962946,0.989265175,0,0.735302486,0.525640029,0.171310465,3.25E-05,0.999990414,0.999498133,0.980777224,0.000108765,0.999829763,0.999670204,0.994878874,0,0.989458233,0.970764863,0.626124913,2.17E-11,0.999999977,1,0.999214865,0.020421238,1,0.984956003,0.64080013,0.000704369,1,1,1,0.098417246
600,0.792899808,0.614583579,0.301868299,0.002117959,0.777709023,0.544584272,0.102040078,6.71E-08,1.00E+00,0.999977631,0.991765528,0,0.771055557,0.573525043,0.204232641,5.17E-05,0.999993834,0.999643364,0.984479885,0.000224109,0.999876211,0.999772848,0.996190596,0,0.991500748,0.978010713,0.670465038,8.56E-11,0.999999988,1,0.999575248,0.024729029,1,0.989554266,0.693026927,0.001166437,1,1,1,0.116183941
620,0.822447034,0.65217998,0.353915059,0.00436967,0.807448703,0.590018844,0.127781669,1.34E-07,1.00E+00,0.9999864,0.993670357,0,0.802692318,0.618540347,0.239163234,8.01E-05,0.999995998,0.999745191,0.987443115,0.000435012,0.999909404,0.999842659,0.997158407,0,0.993127259,0.983481916,0.710927685,3.08E-10,0.999999994,1,0.999771846,0.029596482,1,0.992765802,0.739776424,0.001857447,1,1,1,0.135426695
640,0.848225674,0.687001193,0.406734042,0.00835297,0.833642505,0.632632456,0.156513598,2.56E-07,1.00E+00,0.999991673,0.995123868,2.78E-16,0.830492831,0.660399443,0.27564273,0.000120623,0.999997381,0.99981698,0.989818833,0.000800091,0.999933285,0.999890409,0.997874232,0,0.99442629,0.987601888,0.747505093,1.02E-09,0.999999997,1,0.999878175,0.035042141,1,0.994999347,0.781021364,0.002854958,1,1,1,0.156037884
660,0.870590834,0.719051408,0.459304571,0.014909929,0.85659476,0.672211397,0.187944012,4.76E-07,1.00E+00,0.999994867,0.996235026,2.39E-15,0.854775886,0.698951554,0.313203896,0.000177327,0.999998272,0.999867864,0.991727158,0.001401461,0.99995058,0.999923254,0.998405064,0,0.995466811,0.990698062,0.780298066,3.11E-09,0.999999998,1,0.999935268,0.041079523,1,0.996547668,0.816949578,0.004249553,1,1,1,0.177891793
680,0.889901127,0.748390007,0.510725469,0.025022631,0.87661764,0.708655062,0.221708362,8.55E-07,1.00E+00,0.999996814,0.997086156,1.98E-14,0.875876477,0.734157837,0.351390102,0.000254909,0.999998851,0.999904122,0.993263096,0.002348397,0.999963183,0.99994597,0.998799785,5.55E-17,0.99630269,0.993021497,0.809485588,8.87E-09,0.999999999,1,0.99996574,0.047717076,1,0.997618369,0.847897451,0.006143392,1,1,1,0.200848842
700,0.906504672,0.775117455,0.560243121,0.039724064,0.894018463,0.741955286,0.25739051,1.49E-06,1.00E+00,0.999998009,0.997739486,1.41E-13,0.89412931,0.766067935,0.389769941,0.000358968,0.999999231,0.99993009,0.994501854,0.003779474,0.999972422,0.999961765,0.999094121,2.78E-16,0.996976105,0.994763403,0.835298899,2.37E-08,1,1,0.999981925,0.054958237,1,0.998357495,0.874292912,0.008647896,1,1,1,0.224759739
720,0.920729914,0.799363258,0.607263607,0.05997753,0.909091027,0.77217646,0.294543946,2.56E-06,1.00E+00,0.999998748,0.998242088,8.86E-13,0.909857323,0.794798299,0.427948067,0.000496019,0.999999481,0.999948783,0.995503025,0.005862569,0.999979235,0.999972807,0.999314231,2.00E-15,0.997520175,0.996068642,0.858000313,5.96E-08,1,1,0.999990487,0.062801587,1,0.998867141,0.896609681,0.011880665,1,1,1,0.249469397
740,0.932880138,0.82127599,0.651351956,0.086544704,0.92211011,0.799437408,0.332711669,4.30E-06,1.00E+00,0.999999208,0.998629616,4.95E-12,0.923364202,0.820513085,0.465572492,0.000673514,0.999999647,0.999962305,0.996313893,0.008792322,0.999984286,0.999980565,0.999479312,1.30E-14,0.997960972,0.997046513,0.877866564,1.42E-07,1,1,0.999995002,0.071241074,1,0.999218328,0.915332679,0.01596183,1,1,1,0.27482053
760,0.94323075,0.841015231,0.692221885,0.119866777,0.933328378,0.823895552,0.371443694,7.04E-06,1.00E+00,0.999999495,0.99892911,2.48E-11,0.934929965,0.843407973,0.502338729,0.000899854,0.999999759,0.999972132,0.996972034,0.012784884,0.99998805,0.999986043,0.999603482,7.64E-14,0.998319079,0.997779219,0.895176215,3.21E-07,1,1,0.999997378,0.080266302,1,0.999460271,0.930933481,0.021010031,1,1,1,0.300656841
780,0.952028511,0.858745214,0.729719287,0.159981004,0.94297505,0.84573356,0.410311567,1.12E-05,1.00E+00,0.999999677,0.999161113,1.13E-10,0.944808846,0.863696927,0.537991286,0.001184367,0.999999834,0.999979307,0.997507356,0.018070158,0.999990871,0.99998993,0.999697155,4.04E-13,0.998610793,0.998328442,0.910200546,6.95E-07,1,1,0.999998625,0.089862859,1,0.999626979,0.943854177,0.027138288,1,1,1,0.326825767
800,0.959492132,0.874629962,0.763802286,0.20648753,0.951255825,0.86514844,0.448919626,1.75E-05,1.00E+00,0.999999792,0.999341261,4.66E-10,0.953228804,0.881601719,0.572323044,0.00153728,0.999999885,0.99998457,0.99794371,0.02488197,0.999992994,0.999992702,0.999768026,1.94E-12,0.99884905,0.99874038,0.923197312,1.44E-06,1,1,0.999999279,0.100012689,1,0.999741899,0.95449789,0.034449983,1,1,1,0.353180771
820,0.965813741,0.888829674,0.794520141,0.258570905,0.958353648,0.882342904,0.486913039,2.67E-05,1.00E+00,0.999999865,0.999481478,1.77E-09,0.960392169,0.897343918,0.605173031,0.001969659,0.99999992,0.999988447,0.998300148,0.033446903,0.9999946,0.999994688,0.999821803,8.51E-12,0.99904415,0.999049596,0.934406778,2.86E-06,1,1,0.999999622,0.110694477,1,0.999821179,0.963224294,0.043035179,1,1,1,0.379583175
840,0.971160864,0.901498138,0.821992641,0.315070393,0.964430032,0.89751876,0.523982838,3.99E-05,1.00E+00,0.999999912,0.999590875,6.19E-09,0.966477015,0.911139004,0.636423052,0.002493339,0.999999944,0.999991315,0.998591919,0.043972644,0.999995821,0.999996117,0.999862725,3.44E-11,0.999204314,0.999281927,0.944049517,5.47E-06,1,1,0.999999802,0.121884051,1,0.999875923,0.970348717,0.05296745,1,1,1,0.405903579
860,0.975678677,0.912780987,0.846391134,0.374585291,0.969626684,0.910872032,0.559868321,5.87E-05,1.00E+00,0.999999942,0.999676429,2.01E-08,0.971638967,0.923192244,0.665993589,0.003120831,0.999999961,0.999993446,0.998831255,0.056636742,0.999996753,0.999997149,0.999893955,1.29E-10,0.999336123,0.99945668,0.952325524,1.01E-05,1,1,0.999999896,0.133554785,1,0.99991377,0.976143642,0.064301362,1,1,1,0.432022873
880,0.979492327,0.922814609,0.867921847,0.435597538,0.974067297,0.922589526,0.594357237,8.49E-05,1.00E+00,0.999999962,0.999743496,6.09E-08,0.976013227,0.933695993,0.693839302,0.00386522,0.999999972,0.999995036,0.999027985,0.071576639,0.999997467,0.999997899,0.999917855,4.48E-10,0.99944486,0.999588285,0.959414288,1.81E-05,1,1,0.999999945,0.145677997,1,0.99993997,0.980841702,0.077070685,1,1,1,0.457832895
